CustomerID,InvoiceDate,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_score,RFM_total,Segment,Cluster,Cluster_Label
12394,2011-10-07 08:08:00,64,2,1272.48,3,2,4,324,9,Needs Attention,0,Loyal Customers
12395,2011-11-20 15:21:00,19,12,3018.63,4,5,5,455,14,Champions,0,Loyal Customers
12397,2011-11-04 09:52:00,36,2,2409.9,3,2,5,325,10,Needs Attention,0,Loyal Customers
12398,2011-10-25 10:27:00,46,1,1635.66,3,1,4,314,8,Needs Attention,0,Loyal Customers
12399,2011-08-12 13:15:00,119,4,1108.65,2,4,4,244,10,At Risk,0,Loyal Customers
12401,2011-02-09 13:50:00,303,1,84.3,1,1,1,111,3,Lost,1,Lost
12402,2011-01-20 13:49:00,323,1,225.6,1,1,1,111,3,Lost,1,Lost
12403,2011-10-21 10:51:00,50,1,427.7,3,1,2,312,6,Needs Attention,0,Loyal Customers
12405,2011-07-14 08:52:00,149,1,1710.39,2,1,4,214,7,Lost,1,Lost
12406,2011-11-17 19:22:00,22,2,3415.3,4,2,5,425,11,Promising,0,Loyal Customers
12407,2011-10-21 10:11:00,50,5,1708.12,3,4,4,344,11,Loyal Customers,0,Loyal Customers
12408,2011-11-07 12:27:00,33,5,2888.55,4,4,5,445,13,Champions,0,Loyal Customers
12409,2011-09-22 10:38:00,79,3,11072.67,2,3,5,235,10,At Risk,0,Loyal Customers
12410,2011-02-04 10:39:00,309,2,693.33,1,2,3,123,6,Lost,1,Lost
12412,2011-09-26 10:16:00,75,3,1226.88,2,3,4,234,9,At Risk,0,Loyal Customers
12413,2011-10-04 09:00:00,67,3,758.1,3,3,3,333,9,Loyal Customers,0,Loyal Customers
12414,2011-05-06 14:51:00,217,3,562.4100000000001,1,3,3,133,7,At Risk,1,Lost
12415,2011-11-15 14:22:00,24,21,124914.53,4,5,5,455,14,Champions,2,Champions
12417,2011-12-06 14:52:00,3,9,3649.1,5,5,5,555,15,Champions,0,Loyal Customers
12418,2011-08-19 11:08:00,113,1,668.58,2,1,3,213,6,Lost,0,Loyal Customers
12420,2011-10-07 08:55:00,64,1,600.39,3,1,3,313,7,Needs Attention,0,Loyal Customers
12421,2011-11-24 09:07:00,16,4,807.04,4,4,3,443,11,Champions,0,Loyal Customers
12422,2011-09-05 09:48:00,96,3,803.5600000000001,2,3,3,233,8,At Risk,0,Loyal Customers
12423,2011-12-09 10:10:00,1,8,1859.31,5,5,4,554,14,Champions,0,Loyal Customers
12424,2011-06-30 12:06:00,163,2,1760.96,2,2,4,224,8,Lost,1,Lost
12425,2011-09-22 17:31:00,78,1,777.2,2,1,3,213,6,Lost,0,Loyal Customers
12426,2011-05-29 12:26:00,195,1,582.73,1,1,3,113,5,Lost,1,Lost
12427,2011-11-18 08:56:00,22,3,825.8000000000001,4,3,3,433,10,Loyal Customers,0,Loyal Customers
12428,2011-11-14 08:22:00,26,9,7956.46,4,5,5,455,14,Champions,0,Loyal Customers
12429,2011-11-30 17:22:00,9,4,3750.4,5,4,5,545,14,Champions,0,Loyal Customers
12430,2011-10-27 15:09:00,43,1,256.4,3,1,2,312,6,Needs Attention,0,Loyal Customers
12431,2011-11-04 11:55:00,36,15,6487.45,3,5,5,355,13,Loyal Customers,3,High Value
12432,2011-10-28 11:43:00,43,5,5059.32,3,4,5,345,12,Loyal Customers,0,Loyal Customers
12433,2011-12-09 10:02:00,1,7,13375.87,5,5,5,555,15,Champions,0,Loyal Customers
12434,2011-09-16 12:38:00,85,2,806.14,2,2,3,223,7,Lost,0,Loyal Customers
12435,2011-09-21 09:06:00,80,2,7829.89,2,2,5,225,9,Lost,0,Loyal Customers
12436,2011-09-01 12:09:00,100,1,509.01,2,1,3,213,6,Lost,0,Loyal Customers
12437,2011-12-08 11:35:00,2,18,4951.41,5,5,5,555,15,Champions,3,High Value
12438,2011-11-25 13:28:00,14,2,2906.85,4,2,5,425,11,Promising,0,Loyal Customers
12441,2010-12-08 10:45:00,367,1,173.55,1,1,1,111,3,Lost,1,Lost
12442,2011-12-06 14:22:00,3,1,172.06,5,1,1,511,7,Promising,0,Loyal Customers
12444,2011-11-18 13:23:00,21,5,5005.46,4,4,5,445,13,Champions,0,Loyal Customers
12445,2011-11-17 18:43:00,22,1,133.4,4,1,1,411,6,Promising,0,Loyal Customers
12446,2011-10-13 12:50:00,58,1,1002.31,3,1,4,314,8,Needs Attention,0,Loyal Customers
12447,2011-04-10 13:25:00,243,1,476.49,1,1,2,112,4,Lost,1,Lost
12448,2011-10-26 13:46:00,44,1,449.45,3,1,2,312,6,Needs Attention,0,Loyal Customers
12449,2011-11-17 13:46:00,22,4,4067.29,4,4,5,445,13,Champions,0,Loyal Customers
12450,2011-07-06 14:41:00,156,2,197.88,2,2,1,221,5,Lost,1,Lost
12451,2011-11-29 08:40:00,11,5,9035.52,5,4,5,545,14,Champions,0,Loyal Customers
12452,2011-11-23 10:28:00,17,2,430.5700000000001,4,2,2,422,8,Promising,0,Loyal Customers
12453,2011-07-28 14:08:00,134,1,707.09,2,1,3,213,6,Lost,0,Loyal Customers
12454,2011-10-14 17:13:00,56,1,3528.34,3,1,5,315,9,Needs Attention,0,Loyal Customers
12455,2011-09-27 15:31:00,73,6,2466.86,2,4,5,245,11,At Risk,0,Loyal Customers
12456,2011-10-26 14:41:00,44,3,3181.04,3,3,5,335,11,Loyal Customers,0,Loyal Customers
12457,2011-10-04 13:13:00,66,7,2363.23,3,5,5,355,13,Loyal Customers,0,Loyal Customers
12458,2011-09-29 15:25:00,71,2,947.4,3,2,4,324,9,Needs Attention,0,Loyal Customers
12461,2011-09-06 16:57:00,94,2,826.88,2,2,3,223,7,Lost,0,Loyal Customers
12462,2011-11-21 09:11:00,19,2,1189.59,4,2,4,424,10,Promising,0,Loyal Customers
12463,2011-10-17 13:44:00,53,4,1344.78,3,4,4,344,11,Loyal Customers,0,Loyal Customers
12464,2011-11-29 13:33:00,10,8,1212.05,5,5,4,554,14,Champions,0,Loyal Customers
12465,2011-11-22 16:34:00,17,2,742.19,4,2,3,423,9,Promising,0,Loyal Customers
12468,2011-06-05 11:36:00,188,2,729.54,1,2,3,123,6,Lost,1,Lost
12471,2011-12-07 15:43:00,2,30,19824.05,5,5,5,555,15,Champions,3,High Value
12472,2011-11-07 14:01:00,32,7,6572.11,4,5,5,455,14,Champions,0,Loyal Customers
12473,2011-11-10 13:46:00,29,5,3938.55,4,4,5,445,13,Champions,0,Loyal Customers
12474,2011-11-22 14:39:00,17,18,7375.79,4,5,5,455,14,Champions,3,High Value
12475,2011-10-17 10:10:00,54,1,723.38,3,1,3,313,7,Needs Attention,0,Loyal Customers
12476,2011-11-24 12:40:00,16,11,6816.42,4,5,5,455,14,Champions,0,Loyal Customers
12477,2011-11-17 09:51:00,23,6,13219.74,4,4,5,445,13,Champions,0,Loyal Customers
12478,2011-12-06 09:56:00,4,1,680.99,5,1,3,513,9,Promising,0,Loyal Customers
12479,2011-11-28 13:26:00,11,1,527.2,5,1,3,513,9,Promising,0,Loyal Customers
12480,2011-11-11 14:52:00,28,4,3281.63,4,4,5,445,13,Champions,0,Loyal Customers
12481,2011-11-17 08:29:00,23,10,5596.32,4,5,5,455,14,Champions,0,Loyal Customers
12483,2011-11-22 17:02:00,17,8,2484.98,4,5,5,455,14,Champions,0,Loyal Customers
12484,2011-11-07 11:37:00,33,6,4541.72,4,4,5,445,13,Champions,0,Loyal Customers
12488,2011-11-30 08:50:00,10,3,1298.66,5,3,4,534,12,Loyal Customers,0,Loyal Customers
12489,2011-01-07 13:13:00,336,1,334.93,1,1,2,112,4,Lost,1,Lost
12490,2011-12-04 16:07:00,5,10,5417.93,5,5,5,555,15,Champions,0,Loyal Customers
12491,2011-11-01 12:18:00,39,1,460.4,3,1,2,312,6,Needs Attention,0,Loyal Customers
12492,2011-10-07 15:15:00,63,2,263.21000000000004,3,2,2,322,7,Needs Attention,0,Loyal Customers
12493,2011-06-27 10:17:00,166,2,433.74,2,2,2,222,6,Lost,1,Lost
12494,2011-11-24 09:34:00,16,7,1246.1,4,5,4,454,13,Champions,0,Loyal Customers
12497,2011-09-19 12:29:00,82,1,1043.1,2,1,4,214,7,Lost,0,Loyal Customers
12498,2011-11-18 12:53:00,21,3,403.7000000000001,4,3,2,432,9,Loyal Customers,0,Loyal Customers
12500,2011-11-16 16:20:00,23,11,4257.82,4,5,5,455,14,Champions,0,Loyal Customers
12501,2011-01-07 12:28:00,337,1,2169.39,1,1,5,115,7,Lost,1,Lost
12502,2011-09-05 11:52:00,96,5,3723.87,2,4,5,245,11,At Risk,0,Loyal Customers
12504,2011-11-21 16:02:00,18,2,482.05,4,2,2,422,8,Promising,0,Loyal Customers
12506,2011-04-21 08:54:00,233,1,73.5,1,1,1,111,3,Lost,1,Lost
12507,2011-07-28 17:09:00,134,3,1304.81,2,3,4,234,9,At Risk,0,Loyal Customers
12508,2011-11-13 15:37:00,26,2,398.27,4,2,2,422,8,Promising,0,Loyal Customers
12509,2011-02-28 14:45:00,284,1,176.5,1,1,1,111,3,Lost,1,Lost
12510,2011-07-20 10:15:00,143,2,982.57,2,2,4,224,8,Lost,0,Loyal Customers
12512,2011-10-04 14:55:00,66,2,138.03,3,2,1,321,6,Needs Attention,0,Loyal Customers
12513,2011-08-19 10:51:00,113,1,612.29,2,1,3,213,6,Lost,0,Loyal Customers
12514,2011-03-17 16:38:00,267,1,1017.68,1,1,4,114,6,Lost,1,Lost
12515,2010-12-21 15:43:00,353,1,383.7,1,1,2,112,4,Lost,1,Lost
12516,2011-09-23 09:13:00,78,2,1312.06,2,2,4,224,8,Lost,0,Loyal Customers
12517,2011-11-11 14:04:00,28,5,2502.84,4,4,5,445,13,Champions,0,Loyal Customers
12518,2011-12-09 10:13:00,1,5,2056.89,5,4,4,544,13,Champions,0,Loyal Customers
12519,2011-10-07 09:26:00,64,1,340.84000000000003,3,1,2,312,6,Needs Attention,0,Loyal Customers
12520,2011-09-21 15:23:00,79,5,2634.26,2,4,5,245,11,At Risk,0,Loyal Customers
12521,2011-07-20 10:51:00,143,1,599.68,2,1,3,213,6,Lost,1,Lost
12522,2011-10-31 15:30:00,39,2,192.72,3,2,1,321,6,Needs Attention,0,Loyal Customers
12523,2011-11-20 12:55:00,19,11,1789.77,4,5,4,454,13,Champions,0,Loyal Customers
12524,2011-11-30 15:31:00,9,8,4485.72,5,5,5,555,15,Champions,0,Loyal Customers
12526,2011-12-09 12:09:00,1,3,1316.66,5,3,4,534,12,Loyal Customers,0,Loyal Customers
12527,2011-09-19 11:55:00,82,3,348.71000000000004,2,3,2,232,7,At Risk,0,Loyal Customers
12528,2011-11-30 14:40:00,9,6,1933.48,5,5,4,554,14,Champions,0,Loyal Customers
12530,2011-10-11 12:34:00,60,4,1662.28,3,4,4,344,11,Loyal Customers,0,Loyal Customers
12531,2011-11-25 11:12:00,15,1,125.22,4,1,1,411,6,Promising,0,Loyal Customers
12532,2011-11-09 13:47:00,30,1,349.83000000000004,4,1,2,412,7,Promising,0,Loyal Customers
12534,2011-08-01 10:26:00,131,1,1089.18,2,1,4,214,7,Lost,0,Loyal Customers
12535,2011-09-09 08:48:00,92,2,716.35,2,2,3,223,7,Lost,0,Loyal Customers
12536,2011-10-27 14:20:00,43,3,12601.830000000002,3,3,5,335,11,Loyal Customers,0,Loyal Customers
12538,2011-11-10 17:16:00,29,1,363.95,4,1,2,412,7,Promising,0,Loyal Customers
12539,2011-11-17 13:30:00,22,4,5568.35,4,4,5,445,13,Champions,0,Loyal Customers
12540,2011-11-20 11:31:00,20,17,13400.24,4,5,5,455,14,Champions,3,High Value
12541,2011-11-10 10:40:00,30,3,981.18,4,3,4,434,11,Loyal Customers,0,Loyal Customers
12544,2011-11-03 16:15:00,36,1,372.7,3,1,2,312,6,Needs Attention,0,Loyal Customers
12545,2011-09-25 13:39:00,75,2,1000.39,2,2,4,224,8,Lost,0,Loyal Customers
12546,2011-10-24 12:09:00,47,2,1161.5,3,2,4,324,9,Needs Attention,0,Loyal Customers
12547,2011-05-26 12:38:00,198,2,207.8,1,2,1,121,4,Lost,1,Lost
12548,2011-06-26 15:35:00,166,1,95.2,2,1,1,211,4,Lost,1,Lost
12550,2011-09-21 14:35:00,79,1,964.83,2,1,4,214,7,Lost,0,Loyal Customers
12551,2010-12-17 11:23:00,358,1,168.0,1,1,1,111,3,Lost,1,Lost
12552,2011-11-01 10:02:00,39,2,437.82,3,2,2,322,7,Needs Attention,0,Loyal Customers
12553,2011-12-01 16:38:00,8,10,3692.28,5,5,5,555,15,Champions,0,Loyal Customers
12556,2011-10-20 13:06:00,50,2,603.71,3,2,3,323,8,Needs Attention,0,Loyal Customers
12557,2011-11-23 16:59:00,16,5,11990.96,4,4,5,445,13,Champions,0,Loyal Customers
12558,2011-12-02 10:41:00,8,1,269.96,5,1,2,512,8,Promising,0,Loyal Customers
12559,2011-02-02 09:49:00,311,2,561.71,1,2,3,123,6,Lost,1,Lost
12560,2011-12-04 13:54:00,5,3,2134.01,5,3,5,535,13,Loyal Customers,0,Loyal Customers
12561,2011-02-10 11:39:00,303,1,238.85,1,1,1,111,3,Lost,1,Lost
12562,2011-12-01 17:20:00,8,7,3781.74,5,5,5,555,15,Champions,0,Loyal Customers
12564,2011-03-23 14:55:00,261,1,456.9,1,1,2,112,4,Lost,1,Lost
12565,2011-02-24 10:34:00,289,1,145.92000000000002,1,1,1,111,3,Lost,1,Lost
12566,2011-09-14 14:30:00,86,1,351.65,2,1,2,212,5,Lost,0,Loyal Customers
12567,2011-11-17 11:02:00,23,10,9401.28,4,5,5,455,14,Champions,0,Loyal Customers
12569,2011-12-07 16:24:00,2,32,4124.6900000000005,5,5,5,555,15,Champions,3,High Value
12571,2011-10-31 10:19:00,40,2,519.61,3,2,3,323,8,Needs Attention,0,Loyal Customers
12572,2011-12-01 09:20:00,9,2,1020.42,5,2,4,524,11,Promising,0,Loyal Customers
12573,2011-04-26 15:52:00,227,1,160.54000000000002,1,1,1,111,3,Lost,1,Lost
12574,2011-01-28 09:20:00,316,1,218.45,1,1,1,111,3,Lost,1,Lost
12576,2011-11-04 10:11:00,36,5,1315.83,3,4,4,344,11,Loyal Customers,0,Loyal Customers
12577,2011-11-04 13:24:00,35,3,657.8,3,3,3,333,9,Loyal Customers,0,Loyal Customers
12578,2011-11-18 13:30:00,21,2,2794.51,4,2,5,425,11,Promising,0,Loyal Customers
12579,2011-09-22 17:15:00,78,1,440.42,2,1,2,212,5,Lost,0,Loyal Customers
12580,2011-04-07 10:24:00,247,1,415.7,1,1,2,112,4,Lost,1,Lost
12581,2011-10-31 08:56:00,40,1,197.71,3,1,1,311,5,Needs Attention,0,Loyal Customers
12582,2011-04-15 08:45:00,239,2,511.36,1,2,3,123,6,Lost,1,Lost
12583,2011-12-07 08:07:00,3,15,7281.38,5,5,5,555,15,Champions,3,High Value
12584,2011-12-06 09:35:00,4,9,2338.15,5,5,5,555,15,Champions,0,Loyal Customers
12585,2011-04-19 13:39:00,234,2,2040.1,1,2,4,124,7,Lost,1,Lost
12586,2011-11-22 16:24:00,17,1,196.94000000000003,4,1,1,411,6,Promising,0,Loyal Customers
12587,2011-12-02 12:47:00,8,1,144.0,5,1,1,511,7,Promising,0,Loyal Customers
12588,2011-10-31 15:01:00,39,1,214.9,3,1,1,311,5,Needs Attention,0,Loyal Customers
12589,2011-11-11 10:19:00,29,2,646.68,4,2,3,423,9,Promising,0,Loyal Customers
12590,2011-05-12 14:52:00,211,2,9864.26,1,2,5,125,8,Lost,1,Lost
12591,2011-01-26 14:35:00,317,1,452.85,1,1,2,112,4,Lost,1,Lost
12592,2011-09-08 15:04:00,92,2,437.6,2,2,2,222,6,Lost,0,Loyal Customers
12593,2011-08-23 12:43:00,109,3,418.1,2,3,2,232,7,At Risk,0,Loyal Customers
12594,2011-11-02 12:20:00,38,10,3338.2200000000003,3,5,5,355,13,Loyal Customers,0,Loyal Customers
12596,2011-10-19 13:02:00,51,2,618.27,3,2,3,323,8,Needs Attention,0,Loyal Customers
12597,2011-11-20 13:33:00,19,4,3811.22,4,4,5,445,13,Champions,0,Loyal Customers
12598,2011-11-30 12:18:00,10,8,3023.08,5,5,5,555,15,Champions,0,Loyal Customers
12599,2011-11-10 13:34:00,29,7,1032.58,4,5,4,454,13,Champions,0,Loyal Customers
12600,2011-11-11 10:29:00,29,10,2599.04,4,5,5,455,14,Champions,0,Loyal Customers
12601,2011-06-03 10:17:00,190,5,577.0600000000001,1,4,3,143,8,At Risk,1,Lost
12602,2011-10-12 11:22:00,59,1,153.12,3,1,1,311,5,Needs Attention,0,Loyal Customers
12603,2011-11-18 10:42:00,22,1,739.1999999999999,4,1,3,413,8,Promising,0,Loyal Customers
12604,2011-09-21 14:08:00,79,2,254.18,2,2,2,222,6,Lost,0,Loyal Customers
12607,2011-10-10 16:06:00,60,1,1579.51,3,1,4,314,8,Needs Attention,0,Loyal Customers
12609,2011-09-22 16:34:00,78,3,1126.85,2,3,4,234,9,At Risk,0,Loyal Customers
12610,2011-11-17 09:34:00,23,5,2099.54,4,4,5,445,13,Champions,0,Loyal Customers
12611,2011-10-18 13:12:00,52,1,1193.32,3,1,4,314,8,Needs Attention,0,Loyal Customers
12612,2011-09-26 15:35:00,74,1,704.04,2,1,3,213,6,Lost,0,Loyal Customers
12613,2011-10-13 14:59:00,57,5,3344.38,3,4,5,345,12,Loyal Customers,0,Loyal Customers
12614,2011-03-07 10:22:00,278,1,315.6,1,1,2,112,4,Lost,1,Lost
12615,2011-12-07 15:02:00,2,4,2291.19,5,4,5,545,14,Champions,0,Loyal Customers
12616,2011-09-05 15:17:00,95,2,713.3,2,2,3,223,7,Lost,0,Loyal Customers
12617,2011-11-10 14:39:00,29,1,355.53000000000003,4,1,2,412,7,Promising,0,Loyal Customers
12618,2011-11-18 11:10:00,22,1,177.31,4,1,1,411,6,Promising,0,Loyal Customers
12619,2011-11-23 14:52:00,16,9,3641.24,4,5,5,455,14,Champions,0,Loyal Customers
12620,2011-11-25 10:20:00,15,3,1339.41,4,3,4,434,11,Loyal Customers,0,Loyal Customers
12621,2011-12-08 11:25:00,2,20,13689.67,5,5,5,555,15,Champions,3,High Value
12622,2011-04-21 16:39:00,232,1,180.1,1,1,1,111,3,Lost,1,Lost
12623,2011-03-08 13:50:00,276,1,305.1,1,1,2,112,4,Lost,1,Lost
12624,2011-08-25 15:04:00,106,2,641.13,2,2,3,223,7,Lost,0,Loyal Customers
12625,2011-05-12 09:54:00,212,2,2683.82,1,2,5,125,8,Lost,1,Lost
12626,2011-11-16 16:06:00,23,9,6620.4800000000005,4,5,5,455,14,Champions,0,Loyal Customers
12627,2011-11-29 12:07:00,11,7,4478.53,5,5,5,555,15,Champions,0,Loyal Customers
12628,2011-12-05 13:15:00,4,3,786.46,5,3,3,533,11,Loyal Customers,0,Loyal Customers
12630,2011-11-30 10:48:00,10,2,1270.88,5,2,4,524,11,Promising,0,Loyal Customers
12631,2011-10-13 13:53:00,57,1,640.5,3,1,3,313,7,Needs Attention,0,Loyal Customers
12633,2011-10-12 11:40:00,59,4,2163.98,3,4,5,345,12,Loyal Customers,0,Loyal Customers
12635,2011-09-11 11:04:00,90,2,1689.18,2,2,4,224,8,Lost,0,Loyal Customers
12637,2011-10-03 13:46:00,67,8,6021.9,3,5,5,355,13,Loyal Customers,0,Loyal Customers
12638,2011-11-06 13:11:00,33,1,671.69,4,1,3,413,8,Promising,0,Loyal Customers
12639,2011-04-15 12:48:00,239,1,486.1,1,1,2,112,4,Lost,1,Lost
12640,2011-11-16 11:52:00,24,3,1174.58,4,3,4,434,11,Loyal Customers,0,Loyal Customers
12641,2011-08-16 13:26:00,115,1,185.9,2,1,1,211,4,Lost,0,Loyal Customers
12642,2011-11-14 15:03:00,25,3,1013.26,4,3,4,434,11,Loyal Customers,0,Loyal Customers
12643,2011-08-03 12:56:00,128,6,3344.64,2,5,5,255,12,At Risk,0,Loyal Customers
12644,2011-08-02 10:33:00,130,1,477.91,2,1,2,212,5,Lost,0,Loyal Customers
12645,2011-11-06 12:38:00,34,4,1775.18,3,4,4,344,11,Loyal Customers,0,Loyal Customers
12646,2011-12-05 10:14:00,5,2,1346.97,5,2,4,524,11,Promising,0,Loyal Customers
12647,2011-11-17 12:56:00,22,12,3722.82,4,5,5,455,14,Champions,0,Loyal Customers
12648,2011-07-08 11:55:00,155,1,318.05,2,1,2,212,5,Lost,1,Lost
12649,2011-08-24 14:41:00,107,3,623.51,2,3,3,233,8,At Risk,0,Loyal Customers
12650,2011-12-06 16:34:00,3,1,314.44,5,1,2,512,8,Promising,0,Loyal Customers
12651,2011-01-09 12:46:00,335,1,114.0,1,1,1,111,3,Lost,1,Lost
12652,2011-01-12 15:00:00,331,1,919.98,1,1,3,113,5,Lost,1,Lost
12653,2011-07-14 10:41:00,149,2,2209.85,2,2,5,225,9,Lost,1,Lost
12654,2011-11-29 10:10:00,11,5,601.98,5,4,3,543,12,Champions,0,Loyal Customers
12656,2011-11-22 13:42:00,17,5,4051.17,4,4,5,445,13,Champions,0,Loyal Customers
12657,2011-11-28 15:47:00,11,4,1643.18,5,4,4,544,13,Champions,0,Loyal Customers
12658,2011-11-21 10:22:00,19,1,686.05,4,1,3,413,8,Promising,0,Loyal Customers
12659,2011-11-10 11:53:00,30,1,91.68,4,1,1,411,6,Promising,0,Loyal Customers
12660,2011-11-28 13:26:00,11,1,245.1,5,1,1,511,7,Promising,0,Loyal Customers
12662,2011-12-09 11:59:00,1,11,3849.78,5,5,5,555,15,Champions,0,Loyal Customers
12664,2011-12-01 17:07:00,8,9,4881.88,5,5,5,555,15,Champions,0,Loyal Customers
12665,2011-01-19 08:34:00,325,1,63.0,1,1,1,111,3,Lost,1,Lost
12667,2011-10-12 17:00:00,58,1,620.13,3,1,3,313,7,Needs Attention,0,Loyal Customers
12668,2011-11-28 10:56:00,12,4,3807.15,5,4,5,545,14,Champions,0,Loyal Customers
12669,2011-07-12 09:54:00,151,3,2744.03,2,3,5,235,10,At Risk,1,Lost
12670,2011-11-29 15:23:00,10,5,2996.05,5,4,5,545,14,Champions,0,Loyal Customers
12672,2011-01-14 09:20:00,330,1,225.9,1,1,1,111,3,Lost,1,Lost
12673,2011-12-04 13:55:00,5,2,610.52,5,2,3,523,10,Promising,0,Loyal Customers
12674,2011-11-01 12:12:00,39,4,1970.6,3,4,4,344,11,Loyal Customers,0,Loyal Customers
12676,2011-11-15 12:25:00,25,6,1331.39,4,5,4,454,13,Champions,0,Loyal Customers
12678,2011-10-28 13:04:00,42,12,17628.46,3,5,5,355,13,Loyal Customers,3,High Value
12679,2011-10-12 12:30:00,59,4,1113.02,3,4,4,344,11,Loyal Customers,0,Loyal Customers
12680,2011-12-09 12:50:00,1,4,862.81,5,4,3,543,12,Champions,0,Loyal Customers
12681,2011-11-25 11:33:00,15,22,13787.54,4,5,5,455,14,Champions,3,High Value
12682,2011-12-06 10:00:00,4,31,12288.22,5,5,5,555,15,Champions,3,High Value
12683,2011-12-05 16:31:00,4,15,8476.57,5,5,5,555,15,Champions,3,High Value
12684,2011-12-02 09:53:00,8,7,2283.63,5,5,5,555,15,Champions,0,Loyal Customers
12685,2011-11-11 13:46:00,28,6,2863.08,4,5,5,455,14,Champions,0,Loyal Customers
12686,2010-12-03 09:51:00,372,1,89.14,1,1,1,111,3,Lost,1,Lost
12688,2011-08-18 08:49:00,114,1,4873.81,2,1,5,215,8,Lost,0,Loyal Customers
12689,2011-11-14 08:31:00,26,2,1247.61,4,2,4,424,10,Promising,0,Loyal Customers
12690,2011-05-18 09:09:00,206,1,389.01,1,1,2,112,4,Lost,1,Lost
12691,2011-11-11 16:49:00,28,6,1035.8,4,5,4,454,13,Champions,0,Loyal Customers
12693,2011-08-04 17:51:00,127,4,855.91,2,4,3,243,9,At Risk,0,Loyal Customers
12694,2011-09-30 13:06:00,70,2,869.67,3,2,3,323,8,Needs Attention,0,Loyal Customers
